LGA_CODE_2011,LGA_NAME_2011,SA2_MAINCODE_2011,SA2_NAME_2011
21890,Darebin (C),206021110,Alphington - Fairfield
21890,Darebin (C),206021111,Northcote
21890,Darebin (C),206021112,Thornbury
21890,Darebin (C),209021205,Kingsbury
21890,Darebin (C),209021206,Preston
21890,Darebin (C),209021207,Reservoir - East
21890,Darebin (C),209021208,Reservoir - West
22670,Greater Dandenong (C),212041311,Dandenong
22670,Greater Dandenong (C),212041312,Dandenong North
22670,Greater Dandenong (C),212041314,Keysborough
22670,Greater Dandenong (C),212041315,Noble Park
22670,Greater Dandenong (C),212041316,Noble Park North
22670,Greater Dandenong (C),212041317,Springvale
22670,Greater Dandenong (C),212041318,Springvale South
22750,Greater Geelong (C),203021037,Belmont
22750,Greater Geelong (C),203021038,Corio - Norlane
22750,Greater Geelong (C),203021039,Geelong
22750,Greater Geelong (C),203021040,Geelong West - Hamlyn Heights
22750,Greater Geelong (C),203021041,Grovedale
22750,Greater Geelong (C),203021042,Highton
22750,Greater Geelong (C),203021043,Lara
22750,Greater Geelong (C),203021044,Leopold
22750,Greater Geelong (C),203021045,Newcomb - Moolap
22750,Greater Geelong (C),203021046,Newtown (Vic.)
22750,Greater Geelong (C),203021047,North Geelong - Bell Park
22750,Greater Geelong (C),203031048,Clifton Springs
22750,Greater Geelong (C),203031050,Ocean Grove - Barwon Heads
22750,Greater Geelong (C),203031051,Portarlington
22750,Greater Geelong (C),203031052,Queenscliff
23110,Hobsons Bay (C),213021341,Altona
23110,Hobsons Bay (C),213021342,Altona Meadows
23110,Hobsons Bay (C),213021343,Altona North
23110,Hobsons Bay (C),213021344,Newport
23110,Hobsons Bay (C),213021345,Seabrook
23110,Hobsons Bay (C),213021346,Williamstown
23110,Hobsons Bay (C),213051363,Laverton
23810,Latrobe (C),205011077,Mount Baw Baw Region
23810,Latrobe (C),205011078,Trafalgar (Vic.)
23810,Latrobe (C),205031090,Leongatha
23810,Latrobe (C),205041094,Churchill
23810,Latrobe (C),205041095,Moe - Newborough
23810,Latrobe (C),205041096,Morwell
23810,Latrobe (C),205041097,Traralgon
23810,Latrobe (C),205041098,Yallourn North - Glengarry
24330,Maribyrnong (C),213031347,Braybrook
24330,Maribyrnong (C),213031348,Footscray
24330,Maribyrnong (C),213031349,Maribyrnong
24330,Maribyrnong (C),213031350,Seddon - Kingsville
24330,Maribyrnong (C),213031351,West Footscray - Tottenham
24330,Maribyrnong (C),213031352,Yarraville
27350,Yarra (C),206071139,Abbotsford
27350,Yarra (C),206071140,Carlton North - Princes Hill
27350,Yarra (C),206071141,Collingwood
27350,Yarra (C),206071142,Fitzroy
27350,Yarra (C),206071143,Fitzroy North
27350,Yarra (C),206071144,Richmond (Vic.)
27350,Yarra (C),206071145,Yarra - North
27450,Yarra Ranges (S),204011061,Upper Yarra Valley
27450,Yarra Ranges (S),211011255,Lysterfield
27450,Yarra Ranges (S),211021262,Warrandyte - Wonga Park
27450,Yarra Ranges (S),211051274,Belgrave - Selby
27450,Yarra Ranges (S),211051275,Chirnside Park
27450,Yarra Ranges (S),211051276,Healesville - Yarra Glen
27450,Yarra Ranges (S),211051277,Kilsyth
27450,Yarra Ranges (S),211051278,Lilydale - Coldstream
27450,Yarra Ranges (S),211051279,Monbulk - Silvan
27450,Yarra Ranges (S),211051280,Montrose
27450,Yarra Ranges (S),211051281,Mooroolbark
27450,Yarra Ranges (S),211051282,Mount Dandenong - Olinda
27450,Yarra Ranges (S),211051283,Mount Evelyn
27450,Yarra Ranges (S),211051284,Upwey - Tecoma
27450,Yarra Ranges (S),211051285,Wandin - Seville
27450,Yarra Ranges (S),211051286,Yarra Valley
27450,Yarra Ranges (S),212011289,Emerald - Cockatoo
