ppl_reporting_heart_disease_perc, lga_code, ppl_reporting_being_obese_perc, ppl_aged_over_18_who_are_current_smokers_perc, ppl_reporting_being_pre_obese_perc
6.8,20110,13.5,12.7,30.2
5.7,20260,22.3,22.1,36.6
8.1,20570,25.8,15.0,34.7
6.8,20660,19.8,8.6,29.5
7.0,20740,18.7,16.3,27.9
6.6,20830,14.8,29.7,37.9
5.3,20910,11.9,9.5,30.4
6.3,21010,26.9,14.6,28.0
4.8,21110,12.5,7.2,24.3
6.2,21180,19.6,17.5,28.5
7.7,21270,21.9,18.5,34.2
6.5,21370,32.3,21.9,30.0
6.8,21450,24.9,18.4,28.7
10.1,21610,25.2,16.3,29.1
7.5,21670,23.6,20.8,25.8
7.9,21750,19.9,13.6,35.3
9.5,21830,27.5,10.9,36.6
6.6,21890,19.3,12.1,30.1
9.0,22110,22.5,11.8,31.9
7.6,22170,19.9,17.2,34.1
8.7,22250,14.8,12.0,25.2
6.5,22310,14.9,18.2,30.0
7.2,22410,28.6,16.0,28.5
7.8,22490,22.0,18.7,27.3
6.1,22620,26.6,13.0,26.8
9.1,22670,16.8,14.5,28.1
7.9,22750,16.6,12.2,32.5
8.1,22830,23.4,12.9,33.1
8.8,22910,21.8,19.8,30.7
7.8,22980,23.0,17.2,36.1
8.1,23110,21.3,11.8,30.4
6.5,23190,19.6,9.2,26.6
7.4,23270,26.3,15.5,35.6
6.9,23350,27.7,10.8,22.2
6.3,23430,18.6,13.9,38.3
6.4,23670,18.2,13.3,36.0
5.6,23810,22.0,24.4,36.6
5.3,23940,24.7,23.0,41.0
6.4,24130,14.1,8.0,31.1
7.5,24210,13.9,8.8,30.0
8.0,24250,16.3,29.2,27.8
3.9,24330,11.9,15.7,34.9
6.8,24410,16.7,13.4,31.6
6.2,24600,8.2,8.0,27.6
5.3,24650,27.2,11.8,29.8
8.1,24780,24.2,18.7,29.0
6.7,24850,28.8,12.2,29.5
8.8,24900,31.7,22.2,28.5
5.8,24970,14.4,10.8,31.6
8.0,25060,15.7,12.6,36.4
8.5,25150,27.9,15.6,31.4
6.7,25250,18.0,15.1,25.0
6.9,25340,17.3,13.1,32.7
6.0,25430,12.9,10.6,22.3
7.4,25490,19.9,12.6,34.8
5.9,25620,22.0,24.4,37.7
7.0,25710,16.5,10.7,35.6
8.9,25810,17.4,16.6,28.0
5.5,25900,8.2,7.4,30.1
6.2,25990,30.1,16.8,35.7
5.5,26080,16.3,14.6,27.2
8.2,26170,22.8,10.4,36.2
4.5,26260,20.9,9.7,33.0
7.5,26350,9.8,7.9,31.0
7.2,26430,21.7,13.6,37.7
5.6,26490,14.8,10.0,30.2
4.7,26610,27.9,15.1,32.8
5.5,26670,20.7,13.5,37.5
6.4,26700,16.9,18.9,33.1
8.3,26730,22.9,9.7,36.3
7.0,26810,20.1,14.8,34.0
7.4,26890,22.9,14.6,45.0
7.7,26980,14.7,5.2,24.0
9.8,27070,24.1,15.1,31.6
9.2,27170,20.3,18.3,35.9
5.6,27260,25.1,13.1,32.7
7.0,27350,12.1,14.3,23.5
6.7,27450,16.4,8.9,33.1
9.6,27630,25.2,12.1,38.3
